GDP per capita,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",2041.889649,2263.100531,2252.749352,2212.299931,2117.58456,2190.787983,2100.872082,2167.978408,2272.196707,2203.873487,2310.422179,2259.916877,2375.178317,2449.700539,2143.772566,1942.640938,1871.752334,1720.242313,1665.275849,1657.21864,1658.09159,1606.119665,1584.33608,1627.241073,1588.559895,1615.77952,1610.456076,1570.087639,1497.96089,1349.942673,1201.160533,1032.004454,857.0199446,793.5493053,773.3623453,744.1011784,687.5529589,661.2886011,619.24363,562.6178944,536.0769225,538.800199,553.0724398,572.2716173,599.017868,614.5983453,634.9647187,655.6765766,655.6759665,684.0459095,712.0094242
"Congo, Rep.",2509.834426,2407.584257,2235.951153,2252.095435,2296.709248,2375.198254,2600.853862,2777.688321,3003.097467,3286.474698,3476.71106,3511.204758,3995.788479,3843.601588,3697.425638,3760.439152,3383.615497,3485.247207,3767.140565,4122.927614,4853.078301,5822.548619,5970.838533,6218.103291,5972.747362,5407.033205,5268.593803,5216.164271,5165.415689,5077.763768,5061.596829,5057.253806,4876.001165,4485.668389,4538.539808,4602.874941,4446.389351,4484.610471,4251.406972,4456.221967,4514.334665,4612.698299,4544.608832,4596.775357,4825.861389,4992.260936,4778.331054,4922.151711,5150.234292,5458.521651,5568.552817
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,4119.022269,4213.143087,4415.772444,4480.455325,4730.203309,4929.895055,5066.244988,5290.974094,5480.151386,5679.435137,5884.375986,6230.533882,6533.748874,6702.518178,6650.885812,6817.447402,7215.034698,7368.126676,7503.380895,7429.381234,7082.414532,6406.54666,6399.65859,6705.20463,6566.650153,6726.548771,6853.530889,6900.460861,7108.330207,7181.916268,7165.042878,7499.331896,7760.36094,7922.572228,7931.354142,7845.381282,8128.245937,8651.181355,9297.926134,9340.47683,9284.799218,9402.074619,9858.716625,10106.24657,10543.39678,11238.15627,11886.265,11968.35317,11622.90284,12322.57681,12693.60149
Cote d'Ivoire,2768.076167,2666.422071,2916.040903,3327.152267,3103.25372,3302.147712,3270.35299,3573.263743,3651.687477,3802.700248,3986.409727,3976.357862,4028.366224,4016.717899,4154.090218,4480.126447,4592.02097,4864.974814,4760.248556,4052.735469,4012.887043,3849.522042,3545.502419,3311.100453,3326.641913,3308.489204,3180.684966,3106.034181,3358.612531,3206.782275,3102.482407,2982.732898,2876.596351,2848.866404,2961.84677,3075.155152,3165.499864,3246.865423,3235.716874,3085.03698,3031.714434,2931.230528,2845.759112,2835.942395,2838.527904,2810.769402,2806.791181,2820.342803,2872.545586,2900.469628,2706.396736
Croatia,8178.538586,8250.089208,9020.89543,9792.703364,9959.355343,10395.51595,10482.7001,10614.06076,11708.36881,12177.68138,13463.17426,13801.76689,14143.28234,15826.04124,15686.91757,16020.11599,17026.70844,17810.63125,18872.41417,19666.12599,19896.0561,19912.9974,19971.66738,20365.54006,20422.69149,21152.85234,20817.78754,20434.43735,20087.32148,18552.20137,14539.47487,12722.97565,11596.0828,12199.90456,13007.90227,13820.97647,14873.3578,15400.80286,15406.98193,15938.24559,16672.77825,17513.17494,18194.18933,18812.22912,19928.32642,20921.18836,21999.66217,22468.24033,20930.9494,20506.36715,20571.24888
Cuba,9863.109589,9845.355642,9774.330834,9667.506986,9566.392949,9868.993871,10813.61741,10006.90527,9722.847305,9225.023741,9798.127721,10082.3116,10801.59831,11181.55769,11567.44162,11732.62082,12125.30434,12748.02666,12964.20498,12723.00465,13699.39826,13904.85524,14164.48904,14529.48462,14652.16731,14541.19414,14315.34792,14442.77269,14346.0707,14183.77532,12423.39602,10628.47562,8873.986679,9004.250418,9265.773883,10029.42851,10322.79428,10413.10692,11067.3002,11621.89425,11915.32013,12049.57784,12352.64902,13070.72173,14076.49677,15759.70113,16898.84735,17597.32663,17859.11189,18293.18257,18796.19252
Cyprus,5647.703993,5870.102398,6101.258531,6341.517257,6591.237024,6850.790394,7120.564599,7400.962122,7692.401294,7995.316918,9009.676181,9639.72165,9919.486106,9721.253675,8159.881751,9710.865774,11250.28165,12060.21639,13155.86833,13786.76008,14029.25901,14746.64717,15330.76717,16459.4757,17029.92246,17473.78203,18502.87703,19823.82693,21119.18367,22216.57009,21790.79092,23218.12536,22811.80916,23636.07616,25513.62795,25575.013,25803.26591,26766.1219,27755.90001,28852.9359,29672.65606,29943.03777,30048.44611,30610.37563,30941.06728,31628.02701,32446.93265,32746.00399,31267.13345,30895.48215,30260.20526
Czech Rep.,12499.08913,12594.50614,12276.3796,12757.85639,13138.39375,13632.12568,14163.19034,14776.46163,15088.46364,15355.48724,15811.45751,16286.54072,16720.75962,17199.42092,17571.03712,17717.86511,18388.3947,18490.28575,18532.92195,18954.73294,18789.57849,19105.37022,19347.00364,19756.03222,19869.30796,20201.92254,20264.83891,20680.479,20820.68107,20214.80465,17862.0037,17763.27136,17768.16638,18160.85435,19249.79772,20049.60831,19939.40618,19828.96957,20134.03031,20901.95801,21439.52016,21862.33427,22659.21096,23682.34051,25198.03956,26886.79778,28329.00029,28942.61699,27409.97388,27988.14884,28454.82502
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,15861.14054,16624.92226,16620.13129,18057.96741,18756.12772,19134.95852,19635.44751,20349.53356,21570.84446,21866.60007,22323.67392,23398.48029,24133.95517,23829.38721,23635.21049,25135.10334,25497.35145,25827.73042,26712.83411,26597.73777,26403.53508,27256.6526,27999.35128,29282.67774,30566.67971,31679.61859,31774.6148,32171.55073,32279.57638,32660.53964,33042.97088,33629.16957,33533.34847,35315.88885,36258.49031,37126.60704,38208.10723,38944.81526,39862.99449,41207.66096,41413.48879,41510.15142,41575.87396,42359.54652,43566.27844,44911.98716,45458.68876,44865.90927,42049.82423,42533.33972,42802.8598
Djibouti,3851.159171,3798.080618,3831.296515,3796.501447,3789.194788,3804.246874,3796.900393,3771.16158,3762.512338,4468.739147,4625.778027,4644.477393,4719.141816,4492.346733,4460.888758,4652.947607,3874.484744,3723.59283,3644.367918,3587.93999,3614.593605,3620.155818,3547.797752,3891.107285,3797.773931,3707.604368,3620.953533,3448.487576,3244.512695,3126.786582,3065.883962,2988.63388,2805.602614,2714.817918,2579.91236,2422.796646,2382.473638,2358.24272,2390.141974,2381.242365,2387.807391,2399.124254,2428.461702,2442.406303,2469.201207,2516.342194,2572.13043,2647.332981,2704.780892,2722.864913,2767.048801
Dominica,2518.414933,2546.912271,2575.732072,2604.877987,2634.353704,2664.162956,2694.309518,2724.797206,2755.629879,2786.811443,2964.324509,3163.102472,3403.843458,3590.026818,3654.520325,3847.933369,3881.400519,4265.96634,3428.499459,3885.926636,4341.657263,4527.757353,4676.319625,4970.101273,5075.189519,5480.992024,5954.3058,6529.509473,6551.721208,6938.72253,6965.467905,7253.058425,7228.875624,7324.426128,7463.969755,7726.476428,7923.594014,8182.004353,8243.241587,8306.003155,8004.454573,7694.556412,7870.425854,8387.519861,8698.365062,9023.981567,9385.971878,10124.59673,10051.37432,10130.89012,10332.52561
Dominican Rep.,2417.991102,2737.501895,2821.428466,2913.950237,2471.61182,2717.283449,2723.643645,2647.773719,2852.281216,3065.794137,3297.688405,3606.672794,3936.917712,4057.443035,4145.371766,4315.961978,4417.173861,4412.79559,4494.568154,4656.521643,4736.872022,4712.153173,4810.673103,4718.734711,4500.783858,4537.147192,4775.973182,4709.077081,5200.702505,4855.485333,4800.251837,5013.7506,5027.366174,5157.793984,5300.778632,5587.498047,5952.341463,6283.762157,6678.710019,7164.481631,7309.27544,7516.486771,7610.380199,7969.158401,8519.811692,9262.851963,9869.663945,10204.16032,10369.41544,10975.03625,11263.69109
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,5166.806224,5284.099601,5260.773574,5466.419051,5817.373431,5794.439142,5921.588035,6065.547484,6209.806431,6451.197856,6624.62748,6829.300776,7459.902921,7670.352931,7843.543808,8358.927296,8637.985609,8980.313544,9204.531189,9362.364787,9480.496091,9328.763424,8891.940866,9012.123313,9150.138657,9177.387292,8382.133874,9042.268508,8827.821733,8848.362481,9107.063464,9186.398454,9190.885962,9399.540619,9486.893943,9481.01931,9607.657566,9464.827478,8626.301754,7263.066032,7516.37917,7465.611978,7644.011746,8161.304107,8448.374675,8691.623224,8751.408597,9170.923262,9129.333226,9288.5667,9881.895867
Egypt,2157.279655,2150.154953,2170.528319,2486.897108,2548.873845,2482.051019,2406.460516,2487.081735,2638.66271,3079.109434,3113.310311,3162.241748,3115.558205,3123.959785,3211.404014,3571.42191,3764.329974,3971.564209,4280.973265,4598.600046,4569.853207,4772.830726,5058.461254,5316.596026,5550.876015,5668.189102,5783.318141,5893.521709,5938.710398,6023.766663,5977.246178,6137.02243,6215.266578,6363.065658,6556.522327,6777.769101,7039.968933,7210.93936,7532.099236,7811.76471,7959.444206,8017.050757,8138.48109,8332.447067,8561.169809,8995.061709,9471.856704,9979.970675,10271.80941,10620.59504,10628.74732
El Salvador,4435.991256,4816.167495,4867.685054,5161.61974,5269.32972,5447.462537,5558.066431,5541.964308,5533.110064,5484.939057,5573.674355,5764.202761,5875.046575,6109.835471,6279.800989,6351.730864,6553.136817,6809.286802,6534.176945,5903.871244,5482.396064,5226.194938,5207.093788,5245.904322,5280.063663,5240.246793,5279.87807,5282.589251,5246.441101,5314.085378,5372.798791,5667.269566,5923.57032,6167.175948,6429.939117,6423.879069,6573.416426,6693.346901,6791.138084,6811.173964,6799.638497,6824.302665,6822.55432,6821.910492,6889.887732,7135.830545,7373.386032,7430.796342,7170.321083,7239.637257,7352.407861
Equatorial Guinea,743.7747685,817.9401731,928.2082431,1055.733515,1185.664345,1219.776403,1284.91562,1313.304941,1257.964025,1207.403753,1094.073604,943.6400001,982.5589259,1040.649906,1193.566642,1339.045538,1345.219361,1450.432234,1421.304348,1361.910988,1313.435722,1302.077851,1259.227713,1178.920182,1250.45332,1163.673183,1169.99568,1163.943655,1115.905155,1056.958005,1011.746895,1317.81423,1414.154812,1595.077217,1812.945244,2921.776123,7068.632095,8470.567124,10308.79941,11805.71086,18681.69845,21622.95857,23884.81169,31971.11138,34060.25082,33490.63747,36817.81191,40179.79634,35912.65919,34462.21841,35182.54517
Eritrea,951.1941242,965.0059367,981.4831245,992.7797352,1032.579674,1059.520804,1103.208673,1134.825376,1148.263444,1103.555509,1122.428908,1138.198983,1131.507509,1104.072296,1030.950874,1012.992452,995.9123464,925.1104444,1007.157165,1010.15911,1011.592769,992.9745837,1038.063695,981.857351,842.1033773,894.5455053,986.458698,960.6296799,925.4273463,918.3986377,1013.821725,1123.101341,1269.257986,1531.84217,1554.054923,1668.881663,1760.153196,1744.380721,1691.047083,1428.911937,1493.775555,1474.741465,1374.989892,1337.943749,1319.916249,1262.574838,1238.707071,1082.938164,1090.871601,1081.078862,1139.221991
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,7259.318644,7334.400421,7059.777952,7863.510534,8208.526,8509.779779,8791.901599,9215.178477,9256.628783,9876.144728,10039.53859,9996.400862,10733.97825,11001.04309,10988.39427,11460.74383,11689.56777,11943.81046,11852.16461,11834.78587,11910.33637,12168.70171,12519.29337,12629.61632,12698.5435,13176.38432,13305.75138,13553.78689,13762.77349,13415.44092,12149.57415,10646.97319,9985.55186,9985.743632,10586.78346,11207.94189,12511.62468,13278.53073,13372.30917,14518.99551,15559.30441,16800.50265,17780.20989,19386.5104,21503.81494,23724.88369,25545.61923,24512.0462,21070.82723,21777.24104,23579.74852
Ethiopia,675.8498999,685.663577,697.3710776,705.3976339,733.6765979,752.8190207,783.8604677,806.325015,815.8731365,784.1069044,797.5169799,808.7220569,803.9675781,784.4740958,732.5192905,719.7593321,707.6234414,657.3167193,715.6131979,717.7461634,718.7648182,705.5360792,737.5731474,697.6369759,598.3378879,635.5994794,700.906361,682.5541247,657.541887,652.5477939,585.2506274,516.0101918,563.780993,562.3525191,577.7251913,629.7277035,630.4983949,591.4191556,604.453632,623.0471986,655.5788668,646.5615187,614.6512524,678.5030934,737.7655396,795.5219286,862.9580679,930.8271214,986.2992379,1081.315073,1171.286251
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,3565.623457,3568.93651,3669.566714,3727.727672,3522.759612,3431.305465,3797.626414,4008.535764,4026.081771,4443.169329,4650.764679,4896.07673,5353.801933,5384.242051,5308.555098,5353.583124,5569.494108,5571.752817,6132.204889,5905.471475,6129.689645,5616.197854,5260.101743,5581.593426,5241.68516,5596.424626,5205.985382,5250.140819,5630.863314,5741.070396,5853.434448,5967.997685,6040.864113,6264.388641,6344.466385,6580.330399,6376.348031,6405.877084,6916.099382,6748.550926,6835.365799,7007.840063,7033.493001,7360.420055,7365.74644,7436.52061,7310.197791,7325.491667,7173.438604,7130.582011,7227.698704
Finland,11604.48453,11885.1854,12190.2526,12735.34392,13367.80563,13637.7861,13850.60312,14105.76931,15473.25791,16692.09909,17019.47777,18209.64245,19320.89428,19802.28344,19941.73186,19797.24234,19790.48862,20146.70065,21493.39237,22569.51524,22892.13435,23503.38396,23995.10648,24587.44137,25311.37288,25829.72265,26810.61362,28040.5867,29535.66272,29397.40993,27369.54841,26184.32632,25737.47466,26638.81364,27456.28625,28410.40275,30086.24448,31709.98714,32865.22578,34458.95007,35287.78572,35768.50399,36333.39819,37603.32479,38640.18324,40181.27924,42137.14528,42055.90332,38284.42688,39381.304,40280.34322
France,12313.88147,12912.75179,13378.47418,14112.31026,14655.73221,15297.84618,15895.54851,16454.80569,17472.23252,18315.92324,19019.2167,19694.94376,20607.47819,21113.06585,20958.09586,21763.99879,22367.17777,23019.29032,23732.29973,24039.13529,24254.13912,24814.20575,25241.35294,25541.05828,25953.20811,26479.98525,26981.57101,28110.97085,28941.79887,29466.27711,29697.28049,30022.55743,29709.45444,30293.13005,30813.14146,31130.34802,31745.47631,32753.46309,33695.68386,34762.63666,35185.19293,35321.10619,35359.2701,36078.10048,36383.02118,36988.47479,37628.5622,37492.06013,36202.67219,36732.5,37312.37063
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,1179.532363,1357.111947,1534.691532,1712.271116,1889.8507,1789.726331,2134.49537,2252.44639,2505.54016,3018.340372,3728.00082,3948.120037,5295.103421,11514.78158,11359.12416,13516.89938,12759.43744,13863.82522,14894.51904,16744.89387,16567.6922,14769.48038,15818.35332,15105.31242,13508.49737,10555.28293,9437.969214,8628.756688,11299.31075,10937.50473,11413.80266,10546.3768,10150.98274,10602.48086,10584.85241,11464.9571,9352.137249,7908.919299,8568.731014,10369.79732,9583.058225,9271.41472,9956.231549,11109.59643,14888.2856,14771.36804,14723.88542,17360.72901,15669.13357,19238.4256,17488.45125
Gambia,1308.694125,1253.429266,1222.625592,1263.831812,1357.671112,1533.124764,1535.892575,1507.783294,1616.954607,1410.775675,1522.664329,1580.423467,1600.249096,1856.442248,1684.796572,1820.114998,1849.374825,1698.066824,1911.182847,1667.426703,1600.772981,1747.065362,1486.856182,1398.232303,1236.646976,1257.417113,1278.530417,1362.542621,1404.234323,1408.585726,1385.207071,1391.332835,1420.084045,1418.606252,1319.27578,1350.038767,1366.470692,1366.278751,1405.696276,1436.326996,1471.473256,1380.80037,1428.784035,1486.042551,1517.533942,1491.368373,1502.692494,1545.408539,1600.450134,1658.874533,1544.97767
Georgia,3247.06081,3280.644554,3157.80715,3517.313144,3671.637021,3902.399945,4102.810928,4244.400636,4406.522154,4893.407828,4969.830376,5066.191775,5348.936792,5773.457315,6153.401784,6484.055933,6887.29427,7353.125525,7843.760552,8144.479624,8508.987978,8612.181467,8909.942776,9312.239695,9683.023218,8801.956409,8821.682593,9230.036469,8527.896802,7278.991247,5793.519205,3240.52955,2335.473095,2135.11048,2231.402096,2520.848278,2824.277066,2946.946593,3065.927461,3158.186253,3348.433806,3571.662416,4009.895751,4288.811167,4746.305578,5097.566322,5735.096677,5884.681953,5658.227763,5942.925491,6322.499298
Germany,15602.65999,16132.34197,16452.94692,17310.03606,18023.00284,18419.08485,18436.90438,19354.69774,20484.67173,21267.11326,21733.34666,22526.17838,23478.98773,23668.45869,23624.46147,24886.53958,25647.92958,26400.21978,27455.77341,27692.65301,27760.47746,27546.69575,28114.15623,29005.57545,29705.20551,30351.21991,30807.12355,31707.20464,32488.11888,31253.43836,32667.45663,33140.38705,32657.95384,33409.63279,33941.41718,34179.61527,34745.28742,35373.84595,36062.85056,37168.42104,37586.68146,37554.67713,37451.06809,37835.82571,38130.07672,39661.07434,41056.49353,41457.51103,39471.88856,41119.43984,42380.9808
Ghana,2300.287297,2345.664969,2360.086756,2343.10523,2307.596129,2243.598411,2218.080444,2184.041305,2244.168432,2456.036569,2526.769032,2394.461436,2455.490893,2554.311043,2184.816729,2066.785687,2078.52358,2217.915299,2121.024413,2080.396235,1949.982634,1755.878377,1617.959121,1698.260899,1727.734534,1764.343566,1797.863715,1848.596555,1891.098975,1901.109403,1945.918577,1964.635123,2002.40832,2011.742374,2038.257582,2079.059167,2114.652412,2162.335355,2205.663325,2244.479704,2290.571007,2342.841255,2405.844925,2473.542347,2563.688322,2616.215389,2718.765737,2878.055815,2941.279672,3063.045863,3445.73921
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,6380.731985,6590.588589,7244.153252,7822.367004,8529.472425,8996.79094,9392.241544,10004.6291,10971.17961,11834.09358,12639.88231,14141.15527,14650.49491,14086.00007,14820.12857,15577.9018,15890.42817,16760.4643,17188.65613,17344.11309,17223.8132,17215.8921,17215.06879,17630.95633,18141.25274,18410.03267,18309.05494,19136.16557,19805.41571,19645.87785,20044.3415,20068.02061,19665.9578,19998.22344,20393.56331,20861.2232,21604.14581,22321.21817,23087.02738,24103.55257,25164.86466,26133.52364,27434.47474,28664.17995,29751.70173,31325.15715,32359.90901,31776.10844,30684.87791,29083.81148,26944.45413
Greenland,7049.121651,7380.859983,7712.598315,8044.336647,8376.074979,8707.813311,9039.551643,9371.289975,9703.028307,10034.76664,11077.32359,11545.57091,12162.61063,12728.42038,12719.97668,13423.31944,14588.8072,15461.61129,16186.19329,17510.22636,17483.50817,16524.27878,16872.60494,15786.0923,16161.17072,17111.93232,17865.85204,18692.33822,19786.81196,17371.44489,17294.81397,16390.77551,15569.16704,16499.81486,17117.49338,17372.16943,17613.47304,18955.49744,19182.05402,20498.57046,20698.64339,20426.19612,20277.63412,21086.45117,21845.59039,23031.1938,23858.22489,24412.64305,23789.48233,24966.32898,25730.27174
Grenada,2205.089342,2255.745905,2307.566178,2360.576896,2414.805406,2470.279684,2527.028349,2585.080677,2644.466615,2705.216801,2902.479593,3127.785662,3411.758988,3648.889704,3787.083892,4174.366374,4474.044244,4898.816611,5044.125807,5028.420962,5023.64348,5037.003392,4964.20312,5096.354818,5332.429874,5842.809217,6435.934071,6680.495029,7160.39536,7596.327559,7879.91802,7933.232422,7776.487944,7974.876733,8168.145195,8364.994372,8702.110184,9840.969363,10585.28857,11258.10856,10822.52483,10881.62152,11527.4197,10765.38856,11873.33371,11365.74776,12023.10074,12095.5654,11249.51205,11168.03991,11220.93516
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3611.473378,3634.341941,3869.609693,3935.883131,4037.150787,4187.72826,4284.692874,4580.055731,4711.722973,4889.523989,5062.383963,5327.118077,5574.985151,5810.920997,5803.907201,6106.486784,6448.440802,6632.110081,6805.295459,6919.007785,6801.922824,6369.819977,6062.569812,5930.695834,5731.519537,5577.62016,5611.322564,5662.163805,5714.906963,5720.268225,5759.557296,5866.307066,5924.01633,5988.271396,6107.749794,6114.312073,6189.869913,6329.714209,6396.20542,6454.688633,6437.927856,6419.838684,6396.540877,6419.527824,6470.91425,6652.076237,6899.328195,6952.844235,6819.504032,6847.101169,6957.282035
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,820.0834348,865.1198192,803.6809352,840.2444366,881.1301287,882.9628587,893.3354369,902.8279054,911.4508993,924.7855278,934.5649024,934.8117212,956.2855792,1002.80076,1023.634004,1100.947744,1102.472466,1108.330611,1087.295106,1101.212293,1084.201405,1080.496387,1069.695829,1050.164961,1017.987363,1009.910189,1015.360492,1048.55551,1063.336753,1051.791762,1005.154942,1001.213484,1020.40994,1027.523175,1040.474996,1056.731791,1095.872778,1130.891339,1146.906001,1142.72538,1178.192446,1191.833443,1177.701321,1181.609793,1192.358303,1197.312321,1192.610148,1223.74515,1190.552497,1184.00408,1200.277049
Guinea-Bissau,1362.647487,1416.107925,1443.816613,1562.755169,1641.354881,1715.433166,1784.529893,1808.562734,1865.209505,1919.183607,1834.764946,1944.817364,1941.866921,2009.130354,2037.008157,1986.188757,1813.225736,2015.921613,2020.534995,1660.706545,1917.613493,1987.258208,1784.429041,1815.028989,1871.160451,1814.406297,1746.099134,1773.495435,1740.553556,1755.43488,1801.220577,1767.733994,1749.280598,1753.510653,1787.854037,1831.997396,1888.954458,1325.900593,1400.603856,1498.701949,1468.758805,1365.041415,1330.043995,1332.744593,1349.143999,1350.518798,1365.678622,1381.005453,1393.276997,1412.064992,1456.847769
Guyana,3138.728204,3090.959481,2644.705375,2875.573106,3106.110231,3195.976557,3262.594572,3231.047597,3398.055609,3493.657002,3565.50173,3422.635894,3447.011446,3693.595145,3982.479636,4013.113428,3873.99537,3771.888946,3676.862496,3723.82116,3772.331751,3275.598317,3059.856131,2917.012411,3001.954187,2993.867755,3043.655879,2953.582213,2824.809207,2748.886085,2914.696722,3135.690344,3380.233048,3655.223258,3829.575145,4131.14859,4394.797732,4329.431034,4466.381138,4407.974197,4503.964491,4543.529951,4488.302198,4628.295218,4535.176398,4751.511948,5069.872134,5149.480363,5309.756936,5525.26577,5808.251565
Haiti,2214.983983,2377.285545,2175.880413,2081.256031,2059.333611,2003.663081,1921.394175,1955.171789,1976.246193,2025.437115,2134.611329,2189.213288,2266.138193,2387.171389,2311.669619,2488.940679,2480.112968,2577.289625,2741.426354,2928.16138,2803.747938,2661.209904,2631.175894,2586.517944,2538.670412,2482.737829,2412.254276,2379.899839,2355.196972,2306.359306,2271.170179,1927.020315,1850.47005,1667.177627,1719.860264,1759.131229,1775.402154,1782.18749,1797.255129,1779.055029,1725.181946,1680.97441,1653.95952,1561.731501,1554.785466,1563.982792,1589.862562,1577.063383,1596.071718,1520.048551,1579.748668
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,2728.27632,2786.608374,2789.095547,2829.763048,2965.481043,3028.047304,3087.15778,3155.667427,3069.145739,3063.101068,3075.390208,3076.908466,3112.016739,3435.40647,3409.071076,3642.640219,3895.886254,4139.504269,4188.099938,4058.354987,3998.433588,3796.826405,3645.832212,3660.174452,3689.056791,3591.176337,3676.826679,3737.726435,3761.242015,3654.786001,3647.680295,3748.096095,3897.544272,3712.29137,3738.607584,3763.930294,3843.887931,3853.628954,3683.680682,3762.715578,3762.668807,3770.029929,3806.750106,3903.361148,3972.256639,4146.652688,4313.319343,4404.022708,4209.154763,4277.028563,4345.206231
"Hong Kong, China",4787.263145,5390.680208,6026.371957,6386.545994,7121.356356,7180.150244,7119.91045,7202.409156,7888.570741,8405.907576,8808.877573,9552.923352,10486.56105,10465.29251,10317.45513,11668.17657,12850.08097,13691.96108,14457.38702,15501.34613,16533.67024,16726.411,17411.08283,18959.24719,18837.54623,20603.4302,23019.19766,24671.05656,25154.6702,25888.4233,27043.62155,28440.29912,29711.34747,30654.4394,31036.98852,31531.74269,32598.80803,30748.74369,31535.51592,34430.77237,34308.65513,34702.60942,35566.97349,38370.1414,40987.40384,43447.34745,46028.78789,46836.1189,45472.1551,48177.68643,50086.037
Hungary,9552.030833,9916.584262,10431.66149,10983.21313,11037.063,11629.32511,12249.54297,12350.06913,12670.60483,12584.88821,13111.08613,13355.43429,14005.57998,14306.70355,14529.34703,14494.02593,15333.6411,15652.01624,15646.32133,15785.07685,15895.4597,16477.80709,16333.12733,16794.18666,16411.09411,16768.28298,17056.34236,17598.54106,17278.00538,16166.42434,14252.71018,13837.41305,13783.89651,14212.5551,14447.84709,14670.31051,15383.47046,16180.21516,16909.16266,17852.0885,18631.1491,19495.91015,20365.72439,21396.73338,22346.056,23261.98606,23316.56427,23538.973,21993.78367,22305.10056,22737.15843
Iceland,11438.94997,12174.92576,13200.04489,14273.11504,15050.66213,16116.85333,15668.23661,14634.90483,14890.95114,15918.71991,17796.08708,18583.31361,19609.00029,20438.95761,20347.03959,21384.3118,23120.19626,24290.28958,25236.14918,26390.19581,27197.78714,27372.11497,26466.70101,27308.86179,28021.5539,29534.29526,31669.8551,31095.83988,30957.31678,31022.50265,30975.14761,29577.43008,29443.88053,30515.11527,30396.25066,31792.24678,33008.36278,34414.75055,35339.60418,36573.65063,37442.37067,36657.37581,37567.60438,40322.70925,41911.68486,42775.46835,44510.38623,44607.71722,41275.79166,39190.26636,39911.18076
India,1030.737717,1030.365556,1058.648797,1116.079009,1047.478447,1035.632847,1096.761638,1099.054249,1148.044556,1179.634044,1163.615306,1133.168384,1159.474109,1146.234243,1219.512909,1208.670492,1272.937479,1312.257159,1216.808842,1275.377139,1327.382409,1339.27527,1417.199244,1440.031163,1465.859079,1496.509468,1528.31986,1652.491041,1725.930662,1778.734803,1770.725886,1828.491056,1901.656299,2002.788551,2111.062842,2235.346337,2300.288949,2406.255752,2507.267449,2570.923576,2672.213611,2719.322279,2900.766378,3096.169698,3292.926516,3556.600323,3828.410133,4043.010574,4188.798321,4594.438863,4883.058315
Indonesia,1734.780203,1713.643338,1610.586752,1633.528643,1619.512869,1602.202952,1538.386747,1669.244714,1838.342526,1990.967112,2064.864171,2241.923463,2511.21982,2547.237641,2480.616991,2652.581148,2789.929008,2861.433307,2937.623231,3125.675904,3244.734733,3060.650653,3094.107166,3247.07932,3268.475931,3410.851151,3527.724417,3676.279955,3946.252381,4232.596857,4391.907348,4808.551412,5083.363495,5395.991346,5754.012977,6107.324563,6293.998659,5359.937796,5300.629377,5478.042592,5624.494637,5798.800147,6021.5531,6246.491679,6525.361249,6787.521361,7116.699822,7438.595148,7673.486731,8036.465158,8437.733575
