GDP per capita,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Argentina,8017.44364,7762.6627,7457.267654,8110.597134,8730.417362,8658.083076,8763.620227,9015.482687,9653.743856,10025.28189,10238.45721,10276.37976,10483.64874,10871.40354,10628.26028,10460.16551,10968.49347,10450.14703,11018.36764,11020.15763,10253.42244,9791.955268,10053.90546,10122.40754,9277.984636,9823.469154,9946.240695,9626.20841,8823.215352,8539.070326,9332.689585,10129.87984,10601.80863,11107.65339,10673.31877,11149.53034,11935.13655,12267.56055,11721.61808,11504.27872,10874.55993,9574.026065,10318.09642,11135.0719,12039.30165,12912.71124,13873.39737,14645.60287,14605.16407,15765.07167,16971.66869
Armenia,2753.320404,2781.797482,2677.638444,2982.478805,3113.336558,3227.596341,3334.599739,3495.140545,3510.861852,3745.832374,3807.804532,3791.44322,4071.192184,4114.686084,4053.022591,4168.689464,4193.022,4224.871844,4134.378754,4071.129703,4040.364159,4070.82729,4130.096482,4108.776199,4073.973399,4168.717642,4151.333078,4170.141362,4175.78409,4014.01483,3481.791617,2061.881088,1965.835096,2141.900193,2332.476716,2474.41152,2559.739515,2755.475852,2847.832738,3020.874428,3327.244726,3847.158761,4399.586226,4878.292785,5577.178664,6306.199009,7161.244137,7640.549946,6494.474907,6571.630321,6812.351956
Aruba,5170.455938,5297.175869,5427.001511,5560.00898,5696.276257,5835.883237,5978.911768,6125.44571,6275.570973,6429.375575,6952.587365,7519.115832,8134.577191,8807.147037,9544.303811,10356.24669,11249.33091,12217.40071,13245.53835,14322.88528,15424.95427,16553.39088,17767.90604,19163.60556,20824.74326,22857.44895,26903.22102,32349.62665,36296.33428,37014.38489,38309.57968,38237.56589,38476.57481,39318.19992,38601.87004,38002.96774,40312.45493,42565.41762,42564.06507,43703.48868,42445.48698,40288.40779,39245.56649,41056.83287,40737.11409,40209.28572,40558.41564,38594.39833,35572.51369,33287.9038,36016.48376
Australia,13854.89996,14453.18325,15050.59503,15769.4909,16254.56278,16397.74469,17184.64787,17850.01633,18510.7915,19251.3987,19677.26551,19861.22884,20619.64731,20791.02339,21086.76421,21709.61959,21689.6616,22045.56104,22927.61535,23075.39649,23473.27451,23041.62699,22731.14648,24009.6229,24891.25622,25043.05609,25894.92099,26627.5653,27367.88007,27389.07261,27083.81458,27711.89005,28455.21989,29315.35748,30189.06621,30937.2261,31939.00949,33324.57855,34287.68875,34593.19961,35541.65753,36304.12594,37423.83668,37973.06841,38800.58131,39281.07032,40455.39975,40748.2208,40682.8783,41269.25766,41705.99745
Austria,12752.47507,12981.60704,13423.53565,14134.67379,14446.99451,15153.45069,15497.91528,16102.82319,17056.46527,18207.77085,19053.39491,20119.08542,20985.71765,21776.21153,21754.94869,22790.90714,23847.63191,23780.24704,25120.3201,25701.50568,25624.44185,26078.70208,26887.22653,26972.0938,27556.83593,28170.19664,28603.29523,29428.44939,30559.52084,31558.27731,32294.1359,32653.51754,32460.34654,33162.4348,33712.26358,34537.63684,35133.62544,36355.69563,37480.66104,38650.60078,38877.51639,39144.59693,39535.32274,40398.09693,41185.76314,42476.83608,43875.86345,44316.00098,42504.61344,43248.59727,44239.86432
Azerbaijan,5115.06101,5167.96513,4974.46065,5540.786691,5783.891485,5996.160918,6194.949592,6493.19894,6522.405654,6958.928972,7074.059551,7043.663847,7563.375615,7670.849973,7582.257365,7825.854298,7898.999211,7986.770132,7842.971228,7749.934224,7718.204897,7803.531487,7944.771723,7931.337458,7891.596056,8103.298822,8097.662468,8162.732859,8202.298266,7912.053428,7740.027441,5905.707601,4490.855682,3570.090518,3125.154655,3150.109334,3321.178076,3644.353508,3906.375854,4329.323167,4743.887659,5228.301979,5789.915492,6426.221373,7943.680392,10552.21555,13018.27344,14237.29126,15356.54265,15937.87092,15754.15236
Bahamas,15548.42824,16318.17305,17142.94312,18034.99874,19008.17482,19836.83939,20852.38197,21753.81881,22901.9125,20963.27137,20756.76363,19594.1342,20664.79858,16875.48929,14098.34135,14527.27868,15522.80227,17348.12306,21410.20399,22312.14097,21204.13855,22055.86231,23058.53959,23125.67842,23606.07301,23773.39218,24220.07761,24340.88722,24469.83027,23646.24433,22236.62608,20975.93605,20638.13315,20890.90129,21416.70065,21943.71376,22657.95903,23827.40817,24419.78358,24533.53596,24395.13181,24622.64546,24551.18062,24554.18133,24849.36582,25165.71332,25225.13987,24351.83604,22904.84701,22692.36451,22807.30171
Bahrain,19750.2306,20079.77546,20515.67657,21054.68062,21744.22848,22493.77634,23309.6597,24120.56156,24979.05168,25954.2572,25747.1299,27893.46042,29319.30648,29837.51929,27322.52978,33355.88805,32848.72778,29508.12691,32367.87443,36013.74862,33520.37154,30861.65089,30396.79481,32419.83729,25254.9804,23171.50163,22163.88674,24375.76294,25195.57026,27333.8996,26380.44402,27460.64854,26924.32889,28178.07279,26042.11375,24920.89385,24390.04763,23074.99954,24548.53097,30621.0262,30769.11989,35471.70931,41874.41925,47798.60305,55556.27974,58761.7061,57547.36018,51687.17515,43329.16525,42712.93913,40083.48798
Bangladesh,1065.99249,1039.977365,1122.873006,1112.28671,1148.685663,1140.370649,1092.775458,1169.982971,1161.724922,1189.682672,1107.774009,954.959965,939.3220375,1033.5977,999.6405999,1021.589911,999.8773662,1041.06581,1058.352667,1035.731391,1040.320615,1025.79512,1050.002679,1081.683348,1090.430174,1115.134588,1139.434956,1150.14069,1156.825406,1210.053519,1227.684555,1269.489807,1307.516971,1339.666255,1383.157548,1423.180534,1473.987422,1523.1237,1567.729066,1629.549628,1682.356035,1721.912826,1775.868887,1850.780372,1921.333906,2021.322895,2124.844021,2227.9172,2334.679137,2456.289893,2588.500451
Barbados,5395.801222,5861.44566,5539.001605,5791.27743,6429.739326,6667.359027,7357.918514,7847.675462,8412.077774,9175.477067,9271.743633,9308.993254,9438.401836,10645.67572,10376.62677,10783.65767,11163.9789,11690.92414,12566.02792,13092.64513,12757.99434,12032.27786,11978.06079,12284.32749,12300.67847,12810.80602,13021.14072,13358.29258,13724.76977,13183.22266,12558.88276,11585.41175,11619.70662,12032.5443,12290.07335,12617.62514,13133.2778,13889.43543,13897.60055,14153.76719,13730.08336,13740.33369,13962.56537,14423.95693,14961.37843,15780.058,16001.69911,16022.19438,15328.88412,15326.53806,15374.21349
